test_name,problem,mode,max_nodes,loop_check,randomise,cost,heuristic,dots,termination_condition,goal_state,path_length,nodes_generated,nodes_tested,nodes_discarded,distinct_states_seen,nodes_left_in_queue,time_taken
BF,RobotWorker,BF/FIFO,100000,True,False,,,True,NODE_LIMIT_EXCEEDED,,,220436,64753,120435,100001,35247,65.0539386
DF,RobotWorker,DF/LIFO,100000,True,False,,,True,GOAL_STATE_FOUND,"(""(<Room.BEDROOM: 'Bedroom'>, [<Item.OVEN_MITS: 'Oven Mits'>], 15, 0)"", [""('door', {<Room.KITCHEN: 'Kitchen'>, <Room.WORKSHOP: 'Workshop'>}, None, False)"", ""('door', {<Room.WORKSHOP: 'Workshop'>, <Room.CHARGING_ROOM: 'Charging Room'>}, None, False)"", ""('door', {<Room.KITCHEN: 'Kitchen'>, <Room.BEDROOM: 'Bedroom'>}, None, False)"", ""('door', {<Room.STORE_ROOM: 'Store Room'>, <Room.BEDROOM: 'Bedroom'>}, None, False)"", ""('door', {<Room.STORE_ROOM: 'Store Room'>, <Room.KITCHEN: 'Kitchen'>}, None, False)""], {<Room.WORKSHOP: 'Workshop'>: {<Item.SLEDGE_HAMMER: 'Sledge Hammer'>, <Item.ANVIL: 'Anvil'>}, <Room.KITCHEN: 'Kitchen'>: set(), <Room.BEDROOM: 'Bedroom'>: {<Item.LASAGNA: 'Lasagna'>, <Item.GOLD_BAR: 'Gold Bar'>, <Item.DIAMOND_RING: 'Diamond Ring'>}, <Room.CHARGING_ROOM: 'Charging Room'>: set(), <Room.STORE_ROOM: 'Store Room'>: set()})",3696.0,63793,26875,28340,35453,8578,16.79403889999992
